User ID	User name	Playlist name	Track count	Create at	Likes count	Reposts count	Track list
20341328	6AM	Premiere: MDD “Consume + Impose” EP - Pure Hate	5	25 June 2021	15	4	https://soundcloud.com/6amgroup/premiere-mdd-apex-switch-pure-hate?in=6amgroup/sets/premiere-mdd-consume-impose-ep,https://soundcloud.com/6amgroup/premiere-mdd-cold-kill-pure-hate?in=6amgroup/sets/premiere-mdd-consume-impose-ep,https://soundcloud.com/6amgroup/premiere-mdd-hate-pusher-pure-hate?in=6amgroup/sets/premiere-mdd-consume-impose-ep,https://soundcloud.com/6amgroup/premiere-mdd-apex-switch-swarm-intelligence-remix-pure-hate?in=6amgroup/sets/premiere-mdd-consume-impose-ep,https://soundcloud.com/6amgroup/premiere-mdd-hate-pushermickey-nox-remix-pure-hate?in=6amgroup/sets/premiere-mdd-consume-impose-ep
20341328	6AM	"Premiere: Sin:It:Sin ""Weather Control EP"""	0	11 May 2021	5	32.7K	None
20341328	6AM	The Artist Journey	3	13 April 2021	5	2	https://soundcloud.com/6amgroup/artist-journey-with-ramsey-neville-ky-william-andhera-records?in=6amgroup/sets/the-artist-journey,https://soundcloud.com/6amgroup/artist-journey-with-rinzen?in=6amgroup/sets/the-artist-journey,https://soundcloud.com/6amgroup/artist-journey-with-enamour-anjuna-deep?in=6amgroup/sets/the-artist-journey
20341328	6AM	Ø [Phase] and Matrixxman present: PHYXIX	1	9 October 2020	35	5	https://soundcloud.com/user-45378221/phxx001?in=6amgroup/sets/o-phase-and-matrixxman-present
20341328	6AM	Los Angeles Techno	41	21 September 2020	125	23	https://soundcloud.com/6amgroup/global-vibe-radio-215-feat-truncate-truncate?in=6amgroup/sets/los-angeles-techno,https://soundcloud.com/6amgroup/global-vibe-radio-243-feat-developer-modularz?in=6amgroup/sets/los-angeles-techno,https://soundcloud.com/6amgroup/global-vibe-radio-230-feat-drumcell-observe?in=6amgroup/sets/los-angeles-techno,https://soundcloud.com/6amgroup/global-vibe-radio-057-feat-dj-hyperactive-4trk-droid-clr?in=6amgroup/sets/los-angeles-techno,https://soundcloud.com/6amgroup/global-vibe-radio-245-feat-jia-6am-group?in=6amgroup/sets/los-angeles-techno,https://soundcloud.com/6amgroup/6am-guest-mix-annika-wolfe?in=6amgroup/sets/los-angeles-techno,https://soundcloud.com/6amgroup/6am-guest-mix-darcsounds-live-at-synthetik-minds-3-year-anniversary-w-paula-temple?in=6amgroup/sets/los-angeles-techno,https://soundcloud.com/6amgroup/global-vibe-radio-059-feat-motionen-ascetic-limited-lanthanaudio?in=6amgroup/sets/los-angeles-techno,https://soundcloud.com/6amgroup/6am-guest-mix-axkan-live-at-evolve-2018-mord-night?in=6amgroup/sets/los-angeles-techno,https://soundcloud.com/6amgroup/6am-guest-mix-trovarsi?in=6amgroup/sets/los-angeles-techno,https://soundcloud.com/6amgroup/6am-guest-mix-secus-live-at-work-presents-modularz-halloween-night-los-angeles?in=6amgroup/sets/los-angeles-techno,https://soundcloud.com/6amgroup/6am-guest-mix-mesme?in=6amgroup/sets/los-angeles-techno,https://soundcloud.com/6amgroup/6am-guest-mix-jelani?in=6amgroup/sets/los-angeles-techno,https://soundcloud.com/6amgroup/6am-guest-mix-josh-sturges?in=6amgroup/sets/los-angeles-techno,https://soundcloud.com/6amgroup/6am-guest-mix-demek?in=6amgroup/sets/los-angeles-techno,https://soundcloud.com/6amgroup/6am-guest-mix-adrian-adonis?in=6amgroup/sets/los-angeles-techno,https://soundcloud.com/6amgroup/6am-guest-mix-onyx-live-at-mord-label-night-los-angeles?in=6amgroup/sets/los-angeles-techno,https://soundcloud.com/6amgroup/6am-guest-mix-linus?in=6amgroup/sets/los-angeles-techno,https://soundcloud.com/6amgroup/6am-guest-mix-3rd-project?in=6amgroup/sets/los-angeles-techno,https://soundcloud.com/6amgroup/6am-guest-mix-onyx?in=6amgroup/sets/los-angeles-techno,https://soundcloud.com/6amgroup/6am-guest-mix-stephen-disario?in=6amgroup/sets/los-angeles-techno,https://soundcloud.com/6amgroup/6am-guest-mix-dean-paul-droid-behavior?in=6amgroup/sets/los-angeles-techno,https://soundcloud.com/6amgroup/6am-guest-mix-tap-newo?in=6amgroup/sets/los-angeles-techno,https://soundcloud.com/6amgroup/6am-guest-mix-conduit-6am-mix-contest-winner?in=6amgroup/sets/los-angeles-techno,https://soundcloud.com/6amgroup/6am-guest-mix-altrd-being?in=6amgroup/sets/los-angeles-techno,https://soundcloud.com/6amgroup/6am-guest-mix-secus-live?in=6amgroup/sets/los-angeles-techno,https://soundcloud.com/6amgroup/6am-guest-mix-derek-nielsen?in=6amgroup/sets/los-angeles-techno,https://soundcloud.com/6amgroup/6am-guest-mix-tollefson?in=6amgroup/sets/los-angeles-techno,https://soundcloud.com/6amgroup/6am-guest-mix-santiaguz?in=6amgroup/sets/los-angeles-techno,https://soundcloud.com/6amgroup/6am-guest-mix-propaganda-b2b-eric-sedano?in=6amgroup/sets/los-angeles-techno,https://soundcloud.com/6amgroup/6am-guest-mix-one-child-policy?in=6amgroup/sets/los-angeles-techno,https://soundcloud.com/6amgroup/6am-guest-mix-daniel-martinez?in=6amgroup/sets/los-angeles-techno,https://soundcloud.com/6amgroup/6am-guest-mix-gerard-not-gerald?in=6amgroup/sets/los-angeles-techno,https://soundcloud.com/6amgroup/6am-guest-mix-dj-nikadeemas?in=6amgroup/sets/los-angeles-techno,https://soundcloud.com/6amgroup/global-vibe-radio-251-feat-stephen-disario-planet-rhythm?in=6amgroup/sets/los-angeles-techno,https://soundcloud.com/6amgroup/6am-guest-mix-orly-gal?in=6amgroup/sets/los-angeles-techno,https://soundcloud.com/6amgroup/6am-guest-mix-vara-sky?in=6amgroup/sets/los-angeles-techno,https://soundcloud.com/6amgroup/the-road-to-reform-mix-series-jelani?in=6amgroup/sets/los-angeles-techno,https://soundcloud.com/6amgroup/the-road-to-reform-2021-mix-series-insical?in=6amgroup/sets/los-angeles-techno,https://soundcloud.com/6amgroup/the-road-to-reform-2021-mix-series-onyx?in=6amgroup/sets/los-angeles-techno,https://soundcloud.com/6amgroup/global-vibe-radio-276-feat-annika-wolfe-akela-recs?in=6amgroup/sets/los-angeles-techno
20341328	6AM	"Premiere: Rtch Kallan ""Flash Point"" EP"	3	7 July 2020	7	2	https://soundcloud.com/6amgroup/premiere-rtch-kallan-flash-point-original-mix-bloc2?in=6amgroup/sets/premiere-rtch-kallan-flash,https://soundcloud.com/6amgroup/rtch-kallan-flashpoint-dreian-remix?in=6amgroup/sets/premiere-rtch-kallan-flash,https://soundcloud.com/6amgroup/premiere-rtch-kallan-flash-point-boxia-remix-bloc2?in=6amgroup/sets/premiere-rtch-kallan-flash
20341328	6AM	Premiere: Matt Altman ALT 001 EP - ALT Records	4	3 July 2020	10	6	https://soundcloud.com/6amgroup/premiere-matt-altman-inti-alt-records?in=6amgroup/sets/premiere-matt-altman-alt-001,https://soundcloud.com/6amgroup/premiere-matt-altman-machu-picchu-alt-records?in=6amgroup/sets/premiere-matt-altman-alt-001,https://soundcloud.com/6amgroup/premiere-matt-altman-pachacuti-alt-records?in=6amgroup/sets/premiere-matt-altman-alt-001,https://soundcloud.com/6amgroup/premiere-matt-altman-pachamama-alt-records?in=6amgroup/sets/premiere-matt-altman-alt-001
20341328	6AM	6AM In Interview	20	26 May 2020	27	3	https://soundcloud.com/6amgroup/6am-in-interview-carl-cox-cooks-up-industry-wisdom-dj-advice?in=6amgroup/sets/6am-in-interview,https://soundcloud.com/6amgroup/6am-in-interview-steve-lawler-reflects-on-covid-19-as-an-opportunity-to-reset?in=6amgroup/sets/6am-in-interview,https://soundcloud.com/6amgroup/6am-in-interview-mark-knight-on-returning-to-his-house-music-roots?in=6amgroup/sets/6am-in-interview,https://soundcloud.com/6amgroup/6am-in-interview-chris-liebing-a-german-techno-legend?in=6amgroup/sets/6am-in-interview,https://soundcloud.com/6amgroup/sam-divine-in-interview-6am?in=6amgroup/sets/6am-in-interview,https://soundcloud.com/6amgroup/6am-in-interview-lee-burridge-on-getting-lost-in-music-finding-joy?in=6amgroup/sets/6am-in-interview,https://soundcloud.com/6amgroup/6am-in-interview-pan-pot-their-undying-dedication-unwavering-drive-to-music?in=6amgroup/sets/6am-in-interview,https://soundcloud.com/6amgroup/6am-in-interview-sama-abdulhadi-a-techno-rebel-with-a-cause?in=6amgroup/sets/6am-in-interview,https://soundcloud.com/6amgroup/6am-in-interview-serge-devant-keeps-a-balance-amidst-turmoil?in=6amgroup/sets/6am-in-interview,https://soundcloud.com/6amgroup/6am-in-interview-insolate-plays-live-event-tells-why-adapting-is-key-to-success?in=6amgroup/sets/6am-in-interview,https://soundcloud.com/6amgroup/6am-in-interview-rebukes-music-is-true-for-the-fans-banging?in=6amgroup/sets/6am-in-interview,https://soundcloud.com/6amgroup/6am-in-interview-dj-e-clyps?in=6amgroup/sets/6am-in-interview,https://soundcloud.com/6amgroup/6am-in-interview-jesse-saunders-captures-the-culture-of-house-music-with-book-in-their-own-words?in=6amgroup/sets/6am-in-interview,https://soundcloud.com/6amgroup/6am-in-interview-relentless-and-unapologetic-jworra-goes-full-speed-ahead?in=6amgroup/sets/6am-in-interview,https://soundcloud.com/6amgroup/6am-in-interview-catching-life-as-it-comes-tara-brooks-rides-its-waves?in=6amgroup/sets/6am-in-interview,https://soundcloud.com/6amgroup/endo-in-interview-series?in=6amgroup/sets/6am-in-interview,https://soundcloud.com/6amgroup/dancing-keeps-you-young-danny-tenaglia-has-plenty-rhythm?in=6amgroup/sets/6am-in-interview,https://soundcloud.com/6amgroup/casting-dark-dancefloor-spells-nicole-moudaber-is-a-techno-force?in=6amgroup/sets/6am-in-interview,https://soundcloud.com/6amgroup/6am-in-interview-with-marco-sgalbazzini-the-artist-journey-guide-to-bookings?in=6amgroup/sets/6am-in-interview,https://soundcloud.com/6amgroup/6am-in-interview-who-says-techno-has-to-be-serious-not-paula-temple?in=6amgroup/sets/6am-in-interview
20341328	6AM	Global Vibe Radio 180 Feat. Josh Wink(Live in Los Angeles, 04.23.2018)	2	18 September 2019	43	12	https://soundcloud.com/6amgroup/global-vibe-radio-180-feat-josh-wink-part-1-live-in-los-angeles-04232018?in=6amgroup/sets/global-vibe-radio-180-feat-josh-wink-live-los-angeles,https://soundcloud.com/6amgroup/global-vibe-radio-180-feat-josh-wink-part-2-live-in-los-angeles-04232018?in=6amgroup/sets/global-vibe-radio-180-feat-josh-wink-live-los-angeles
20341328	6AM	Grand Park's Sunday Sessions ft. 6AM Group	3	27 August 2019	36	11	https://soundcloud.com/6amgroup/grand-park-sunday-sessions-ft?in=6amgroup/sets/grand-parks-sunday-sessions-ft-6am-group,https://soundcloud.com/6amgroup/grand-park-sunday-sessions?in=6amgroup/sets/grand-parks-sunday-sessions-ft-6am-group,https://soundcloud.com/6amgroup/grand-park-sunday-sessions-1?in=6amgroup/sets/grand-parks-sunday-sessions-ft-6am-group
20341328	6AM	"EP Premiere: Abbelard & MODOR ""Refugees"" EP - Frequenza Records"	3	12 September 2018	15	6	https://soundcloud.com/6amgroup/premiere-abbelard-modor-refugees-vision-1-frequenza-records?in=6amgroup/sets/ep-premiere-abbelard-modor,https://soundcloud.com/6amgroup/premiere-abbelard-modor-refugees-vision-2-frequenza-records?in=6amgroup/sets/ep-premiere-abbelard-modor,https://soundcloud.com/6amgroup/premiere-abbelard-modor-spectrum-frequenza-records?in=6amgroup/sets/ep-premiere-abbelard-modor
20341328	6AM	Premiere: STRX005 | VA (Subjected, Riemann, main(void) and STRISC.)	4	28 August 2018	37	7	https://soundcloud.com/6amgroup/premiere-subjected-unsure-strisctrx?in=6amgroup/sets/premiere-strx005-va,https://soundcloud.com/6amgroup/premiere-riemann-riemann-live-22-strisctrx?in=6amgroup/sets/premiere-strx005-va,https://soundcloud.com/6amgroup/premiere-mainvoid-tides-strisctrx?in=6amgroup/sets/premiere-strx005-va,https://soundcloud.com/6amgroup/premiere-strisc-seclusion-strisctrx?in=6amgroup/sets/premiere-strx005-va
