User ID	User name	Playlist name	Track count	Create at	Likes count	Reposts count	Track list
41227	Yotto	Radiate EP	3	6 June 2018	463	116	https://soundcloud.com/yotto/radiate?in=yotto/sets/radiate-ep,https://soundcloud.com/yotto/kantsu?in=yotto/sets/radiate-ep,https://soundcloud.com/yotto/aura?in=yotto/sets/radiate-ep
41227	Yotto	North EP	5	23 October 2017	1,119	270	https://soundcloud.com/yotto/ghostsignal?in=yotto/sets/north-ep,https://soundcloud.com/yotto/off-the-grid?in=yotto/sets/north-ep,https://soundcloud.com/yotto/north-annie-mac-premiere-on-bbc-radio-1?in=yotto/sets/north-ep,https://soundcloud.com/yotto/isolation?in=yotto/sets/north-ep,https://soundcloud.com/yotto/edgeofaffection?in=yotto/sets/north-ep
1121747	DANCE SYSTEM	DANCE SYSTEM'S TRIBUTE TO DAFT PUNK	2	1 March 2021	121	12	https://soundcloud.com/dance_system/dance-system-daft-punk-tribute-mix-for-bbc-radio-1?in=dance_system/sets/dance-systems-tribute-to-daft,https://soundcloud.com/dance_system/daft-punk-something-about-us-dance-systems-2-step-remix?in=dance_system/sets/dance-systems-tribute-to-daft
1121747	DANCE SYSTEM	RELENTLESS EP (CHIWAX)	0	12 March 2020	28	6	None
1121747	DANCE SYSTEM	REMIXES	5	27 September 2019	18	1	https://soundcloud.com/when-we-dip/premiere-nina-kraviz-parris-mitchell-feel-my-butterfly-dance-system-dj-deeon-remix?in=dance_system/sets/remixes-1,https://soundcloud.com/cadenzacadenza/up-inna-dance-system-remix?in=dance_system/sets/remixes-1,https://soundcloud.com/dance_system/ap-terrace-fever-dance-system-world-cup-02-mix?in=dance_system/sets/remixes-1,https://soundcloud.com/wuh-oh/softstyle-dance-system-remix?in=dance_system/sets/remixes-1,https://soundcloud.com/bossylove/up-all-over-me-dance-systems-anxiety-mix?in=dance_system/sets/remixes-1
1121747	DANCE SYSTEM	L-Vis 1990 - Love Jamz	1	2 May 2019	28	19.8K	https://soundcloud.com/dummymag/premiere-l-vis-1990-caught-up-feat-brook-bailli?in=dance_system/sets/love-jamz
1121747	DANCE SYSTEM	DJ MIXES	13	1 May 2019	45	5	https://soundcloud.com/dance_system/dance-system-daft-punk-tribute-mix-for-bbc-radio-1?in=dance_system/sets/mixes,https://soundcloud.com/bleep_bot/bleep-mix-149-dance-system?in=dance_system/sets/mixes,https://soundcloud.com/dummymag/dummy-mix-605-dance-system?in=dance_system/sets/mixes,https://soundcloud.com/dance_system/live-glastonbury-2019?in=dance_system/sets/mixes,https://soundcloud.com/rinsefm/dancesystem291119?in=dance_system/sets/mixes,https://soundcloud.com/dance_system/dance-system-mix-nts?in=dance_system/sets/mixes,https://soundcloud.com/jaguarworldwide/reprezent-radio-dance-system-2007?in=dance_system/sets/mixes,https://soundcloud.com/rinsefm/dancesystemdeeon300519?in=dance_system/sets/mixes,https://soundcloud.com/dance_system/dance-system-acid-mix?in=dance_system/sets/mixes,https://soundcloud.com/dance_system/dance-system-live-on-reprezent-radio?in=dance_system/sets/mixes,https://soundcloud.com/eatseverything/edible-beats-128-edible-takeover-with-dance-system?in=dance_system/sets/mixes,https://soundcloud.com/rinsefm/barelylegal190419?in=dance_system/sets/mixes,https://soundcloud.com/dance_system/dance-system-roman-rhodes-tun-tun-mix001?in=dance_system/sets/mixes
1121747	DANCE SYSTEM	Dance System - Wind Em Up EP (Monkeytown Records)	4	5 April 2019	119	16	https://soundcloud.com/dance_system/wind-em-up-radio-edit?in=dance_system/sets/dance-system-wind-em-up-ep,https://soundcloud.com/dance_system/heeez-baaad-radio-edit?in=dance_system/sets/dance-system-wind-em-up-ep,https://soundcloud.com/dance_system/thats-that-sh-radio-edit?in=dance_system/sets/dance-system-wind-em-up-ep,https://soundcloud.com/dance_system/body-radio-edit?in=dance_system/sets/dance-system-wind-em-up-ep
1121747	DANCE SYSTEM	Sunlight	3	7 May 2018	24	2	https://soundcloud.com/dance_system/sunlight-ft-mista-silva-gaika?in=dance_system/sets/sunlight-rmxs,https://soundcloud.com/dance_system/l-vis-1990-sunlight-ft-mista-silva-gaika-zut-zut-remix?in=dance_system/sets/sunlight-rmxs,https://soundcloud.com/dance_system/l-vis-1990-sunlight-ft-mista-silva-gaika-uninamise-dub?in=dance_system/sets/sunlight-rmxs
1121747	DANCE SYSTEM	12 Thousand Nights - Club	14	23 March 2018	181	22	https://soundcloud.com/dance_system/flexin-garage-mix?in=dance_system/sets/12-thousand-nights-club-1,https://soundcloud.com/dance_system/l-vis-1990-ice-cream-ft-lord-narf-leonce-remix?in=dance_system/sets/12-thousand-nights-club-1,https://soundcloud.com/dance_system/do-my-ting-ft-mista-silva-l-vis-1990-funky-refix-1?in=dance_system/sets/12-thousand-nights-club-1,https://soundcloud.com/dance_system/l-vis-1990-na-buck-ft-tiko-texa-l-vis-1990-club-mix?in=dance_system/sets/12-thousand-nights-club-1,https://soundcloud.com/dance_system/l-vis-1990-sinjin-hawke-cake-ft-pink-dollazuniiqu3-remix?in=dance_system/sets/12-thousand-nights-club-1,https://soundcloud.com/dance_system/l-vis-1990-sunlight-ft-mista-silva-gaika-zut-zut-remix?in=dance_system/sets/12-thousand-nights-club-1,https://soundcloud.com/dance_system/l-vis-1990-yeah-yeah-ft-flohio-cassive-questionmarc-l-vis-1990-remix?in=dance_system/sets/12-thousand-nights-club-1,https://soundcloud.com/dance_system/l-vis-1990-ice-cream-ft-lord-narf-neana-remix-1?in=dance_system/sets/12-thousand-nights-club-1,https://soundcloud.com/dance_system/l-vis-1990-sunlight-ft-mista-silva-gaika-uninamise-dub?in=dance_system/sets/12-thousand-nights-club-1,https://soundcloud.com/dance_system/l-vis-1990-honey-ft-sheera-ash-b-sheen-remix?in=dance_system/sets/12-thousand-nights-club-1,https://soundcloud.com/dance_system/l-vis-1990-sinjin-hawke-cake-ft-pink-dollaz-l-vis-1990-club-mix?in=dance_system/sets/12-thousand-nights-club-1,https://soundcloud.com/dance_system/l-vis-1990-121-ft-mista-silva-dean-lyon-remix?in=dance_system/sets/12-thousand-nights-club-1,https://soundcloud.com/dance_system/l-vis-1990-do-this-ft-ohno-l-vis-club-mix?in=dance_system/sets/12-thousand-nights-club-1,https://soundcloud.com/dance_system/l-vis-1990-do-my-ting-ft-mista-silva-dj-veneno-remix?in=dance_system/sets/12-thousand-nights-club-1
1121747	DANCE SYSTEM	Flexin ft Taliwhoah (Garage Mix)	1	20 February 2018	96	17	https://soundcloud.com/dance_system/flexin-garage-mix?in=dance_system/sets/flexin-ft-taliwhoah-garage-mix
