User ID	User Name	User URL	playlist_count	track_count	CITY	followers_count	followings_count	likes_count	avatar_url	created_at	kind
88188214	Classical Music	https://soundcloud.com/classical-music-playlist	1	48	London	18999	8	26	https://i1.sndcdn.com/avatars-000391312986-flobwq-large.jpg	2014-04-06T20:52:58Z	user
17667431	Karl Nesbitt	https://soundcloud.com/karl-nesbitt	1	18	Cork	106	0	0	https://i1.sndcdn.com/avatars-000016004888-aot80k-large.jpg	2012-05-28T11:30:00Z	user
102059078	Alan STIVELL	https://soundcloud.com/alan-stivell	1	2		141	2	0	https://i1.sndcdn.com/avatars-000093000175-5dt6i3-large.jpg	2014-06-27T11:05:15Z	user
37675796	Jonathan Morali	https://soundcloud.com/jonathanmorali	7	31		925	38	0	https://i1.sndcdn.com/avatars-000035117340-nw0aq9-large.jpg	2013-02-27T14:54:20Z	user
59818200	Shimmering Moods Records	https://soundcloud.com/shimmering-moods-records	6	575	F*A*N*T*A*S*Y*  I*S*L*A*N*D*	5548	1994	2134	https://i1.sndcdn.com/avatars-000111966127-60tnl9-large.jpg	2013-09-27T09:48:00Z	user
65232785	Antonio La Scalia	https://soundcloud.com/antoniolascalia	0	36		875	1958	60	https://i1.sndcdn.com/avatars-000280971181-7zq50q-large.jpg	2013-11-06T07:22:21Z	user
10177191	Josh Stewart	https://soundcloud.com/joshst3wart	6	32	Atlanta	210	39	26	https://i1.sndcdn.com/avatars-000643900542-mje7je-large.jpg	2011-12-27T01:40:40Z	user
328058	EIAG Music	https://soundcloud.com/eiagmusic	3	19	Brighton	912	1163	641	https://i1.sndcdn.com/avatars-q2EDkj1E9aWMj31M-8T1M2A-large.jpg	2009-10-21T18:33:34Z	user
1001816	blakerobinson	https://soundcloud.com/blaketothefuture	23	569	London	21790	100	10	https://i1.sndcdn.com/avatars-yL8mhp5mtBubWYt5-9x04YA-large.jpg	2010-05-12T23:17:40Z	user
9701996	Nils Frahm	https://soundcloud.com/nils_frahm	41	208	Berlin	2015710	1	3	https://i1.sndcdn.com/avatars-hZ0CLDJmyDGNnYQy-LFqcmQ-large.jpg	2011-12-11T19:31:48Z	user
1173592	Rameses B	https://soundcloud.com/ramesesb	29	273	Leeds	126728	473	739	https://i1.sndcdn.com/avatars-000751064968-10xpj4-large.jpg	2010-06-13T18:16:14Z	user
7550603	aivi	https://soundcloud.com/aiviwave	4	43	california	9659	178	282	https://i1.sndcdn.com/avatars-OBKPCxnuEx7xgymp-JyOzAw-large.jpg	2011-09-21T17:50:58Z	user
112263	STYE	https://soundcloud.com/stye	52	60	Woodland Hills	2375	1276	5	https://i1.sndcdn.com/avatars-000315459867-r1mk00-large.jpg	2009-05-04T14:40:24Z	user
70577239	Jake Young Music	https://soundcloud.com/jaketheyoung	0	6	Oregon	31	11	72	https://i1.sndcdn.com/avatars-000312676112-gm5ib7-large.jpg	2013-12-15T20:15:30Z	user
65297558	Gillian Boucher Music	https://soundcloud.com/gillianboucher	3	35	Toronto	42	8	0	https://i1.sndcdn.com/avatars-000059558553-hhmai3-large.jpg	2013-11-06T19:22:11Z	user
96086184	Kaizoer Sharalian	https://soundcloud.com/kaizoer-sharalian	8	0	Madrid	119	691	326	https://i1.sndcdn.com/avatars-000155005323-c0k1qq-large.jpg	2014-05-23T13:24:31Z	user
19645907	Hans Zimmer	https://soundcloud.com/hanszimmer	1	2	Los Angeles	326282	3	1	https://i1.sndcdn.com/avatars-000017946040-sybxzj-large.jpg	2012-07-02T21:00:06Z	user
2250787	billbrownmusic	https://soundcloud.com/billbrownmusic	26	633	Los Angeles	4583	11	52	https://i1.sndcdn.com/avatars-000714068308-xyqb3i-large.jpg	2010-11-26T20:45:00Z	user
1248990	The Echelon Effect	https://soundcloud.com/the-echelon-effect	13	32	London	2475	1985	16	https://i1.sndcdn.com/avatars-000002389760-m0hnu4-large.jpg	2010-06-29T10:55:26Z	user
2388296	PSBHQ	https://soundcloud.com/psbhq	31	191	London	7561	107	5	https://i1.sndcdn.com/avatars-000509271150-jvkj4h-large.jpg	2010-12-12T01:22:59Z	user
56138606	Twelve Titans Music	https://soundcloud.com/twelve-titans-music	0	10	Los Angeles	2636	8	2	https://i1.sndcdn.com/avatars-000067459838-myitx2-large.jpg	2013-08-29T16:28:59Z	user
5454080	Where the Good Way Lies	https://soundcloud.com/vince-rogers	4	40	Fort Collins, CO	668	83	57	https://i1.sndcdn.com/avatars-000612391692-3bwft1-large.jpg	2011-06-19T22:11:18Z	user
208900874	Eveannis	https://soundcloud.com/eveannis	0	3		7	3	0	https://i1.sndcdn.com/avatars-000208018663-yy4oh1-large.jpg	2016-02-27T17:12:08Z	user
60294594	SarahWendt	https://soundcloud.com/sarahwendt	0	3		7	2	6	https://i1.sndcdn.com/avatars-000245278124-w74giz-large.jpg	2013-10-01T08:03:37Z	user
4398939	The Samuel Jackson Five	https://soundcloud.com/the-samuel-jackson-five	1	12	Oslo	565	88	40	https://i1.sndcdn.com/avatars-000503030013-1j4rya-large.jpg	2011-04-27T11:02:10Z	user
160631402	God Is An Astronaut	https://soundcloud.com/godisanastronaut	0	1	Glen of the Downs	1490	0	0	https://i1.sndcdn.com/avatars-000152329459-bkwx2x-large.jpg	2015-06-30T20:30:15Z	user
43092	We Are All Astronauts	https://soundcloud.com/weareallastronauts	6	66	California	11514	516	624	https://i1.sndcdn.com/avatars-LQXZzLLm2vL1Ygyi-hOQGKg-large.jpg	2008-12-01T17:01:42Z	user
3576514	Brombaer	https://soundcloud.com/brombaer	0	11		7317	2	110	https://i1.sndcdn.com/avatars-S3TXZucRdMFKNBCJ-Ba7Odg-large.jpg	2011-03-09T23:29:07Z	user
3654354	leopold	https://soundcloud.com/leopoldsongs	0	15		1763	73	310	https://i1.sndcdn.com/avatars-000569190840-541z3q-large.jpg	2011-03-14T20:37:02Z	user
967219	Stellardrone	https://soundcloud.com/stellardrone	3	29	Vilnius	7877	73	57	https://i1.sndcdn.com/avatars-000207804388-ealubt-large.jpg	2010-05-06T03:42:20Z	user
194787193	PM Limbo	https://soundcloud.com/pm-limbo	9	64		30	3	5	https://i1.sndcdn.com/avatars-000225679072-z1eh49-large.jpg	2015-12-23T13:26:19Z	user
6609290	Benjamin Squires	https://soundcloud.com/benjaminsquires	8	32		463	62	34	https://i1.sndcdn.com/avatars-000271490612-si9cum-large.jpg	2011-08-12T13:38:28Z	user
835105	lukehoward	https://soundcloud.com/lukehoward	30	165	Melbourne	10571	32	145	https://i1.sndcdn.com/avatars-000296551051-1i9p2q-large.jpg	2010-04-07T19:43:32Z	user
1490047	Clemens Ruh	https://soundcloud.com/clemensruh	4	68	Berlin	5226	238	130	https://i1.sndcdn.com/avatars-FY73JbSoS7aGeLvN-SSxIFQ-large.jpg	2010-08-11T14:57:33Z	user
57497852	Slow Meadow	https://soundcloud.com/slowmeadow	30	138	Houston	7187	67	36	https://i1.sndcdn.com/avatars-yWGJZbgtyhq4omYs-msYEzg-large.jpg	2013-09-10T00:03:04Z	user
100904	sigur rós	https://soundcloud.com/sigur-ros	51	691	Reykjavík	2533512	0	0	https://i1.sndcdn.com/avatars-000555159579-2fwxjl-large.jpg	2009-04-15T09:31:46Z	user
4732969	Epic Soul Factory	https://soundcloud.com/epicsoulfactory	2	20	Everywere	4688	3	3	https://i1.sndcdn.com/avatars-000013808417-2h5xwg-large.jpg	2011-05-16T12:29:53Z	user
129927244	Austin Kleyn	https://soundcloud.com/ilya-kleyn	4	78	New York City	511	427	54	https://i1.sndcdn.com/avatars-zKkXm6UKituXUyQG-O6RIJA-large.jpg	2014-12-27T13:03:50Z	user
51110733	Mihail Doman	https://soundcloud.com/mihaildoman	0	4	Bucharest	612	138	88	https://i1.sndcdn.com/avatars-000672968963-7sf0s3-large.jpg	2013-07-14T09:39:48Z	user
190642991	Robert Fisher	https://soundcloud.com/rfishermusic	3	27	Seattle	51	6	1	https://i1.sndcdn.com/avatars-000301980562-c8bbln-large.jpg	2015-12-03T02:56:50Z	user
59446427	Yuki Nakato	https://soundcloud.com/yukinakato	0	6		160	68	202	https://i1.sndcdn.com/avatars-000055489067-d8w5vq-large.jpg	2013-09-24T08:54:09Z	user
33994094	sarahkneufeld	https://soundcloud.com/sarahkneufeld	4	17		809	3	1	https://i1.sndcdn.com/avatars-93aUh4WwAM16zeIA-4O86JA-large.jpg	2013-01-25T16:44:55Z	user
17187	Chauncey Canfield	https://soundcloud.com/chaunceyc	9	118	Portland	486	137	204	https://i1.sndcdn.com/avatars-000000754470-fzn29d-large.jpg	2008-10-07T15:33:49Z	user
57667938	Ad van Nederpelt	https://soundcloud.com/ad-van-nederpelt	1	82	Utrecht	935	233	2038	https://i1.sndcdn.com/avatars-izooheNlScsX9Mhz-FxduVw-large.jpg	2013-09-11T09:55:42Z	user
15072042	Marco Caricola	https://soundcloud.com/marcocaricola	1	9	London	232	11	16	https://i1.sndcdn.com/avatars-BGzqPOjdCbNHkUIf-MiziuA-large.jpg	2012-04-11T19:40:05Z	user
19167586	philstokes	https://soundcloud.com/philstokesmusic	4	60	Salt Lake City	557	469	259	https://i1.sndcdn.com/avatars-000035880308-it89r7-large.jpg	2012-06-23T17:03:30Z	user
51433733	shobbymusic	https://soundcloud.com/shobbymusic	0	62	nuneaton	1062	1739	28	https://i1.sndcdn.com/avatars-000064174107-eevda2-large.jpg	2013-07-17T17:26:45Z	user
